Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1999	7	12,205
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1999	8	11,461
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1999	9	9,092
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1999	10	9,500
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1999	11	2,762
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1999	12	4,882
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2000	1	1,291
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2000	2	2,570
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2000	3	1,662
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2000	4	4,231
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2000	5	8,946
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2000	6	16,588
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2000	7	16,995
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2000	8	7,980
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2000	9	7,186
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2000	10	9,961
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2000	11	4,594
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2000	12	5,343
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2001	1	2,898
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2001	2	6,610
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2001	3	1,982
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2001	4	9,568
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2001	5	18,793
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2001	6	23,874
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2001	7	29,150
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2001	8	23,061
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2001	9	16,519
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2001	10	19,630
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2001	11	8,724
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2001	12	6,691
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2002	1	2,254
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2002	2	4,230
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2002	3	5,104
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2002	4	9,520
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2002	5	19,546
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2002	6	31,552
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2002	7	23,019
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2002	8	21,948
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2002	9	17,769
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2002	10	24,461
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2002	11	7,873
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2002	12	6,668
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2003	1	5,098
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2003	2	10,720
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2003	3	5,821
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2003	4	12,262
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2003	5	27,219
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2003	6	27,190
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2003	7	33,703
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2003	8	34,459
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2003	9	22,042
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2003	10	23,778
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2003	11	7,977
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2003	12	5,390
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2004	1	6,465
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2004	2	8,676
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2004	3	12,735
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2004	4	20,633
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2004	5	29,654
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2004	6	34,208
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2004	7	35,610
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2004	8	26,815
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2004	9	34,330
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2004	10	20,622
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2004	11	7,690
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2004	12	2,066
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2005	1	2,834
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2005	2	4,700
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2005	3	7,245
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2005	4	14,252
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2005	5	21,125
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2005	6	26,061
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2005	7	44,019
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2005	8	29,188
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2005	9	31,915
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2005	10	28,515
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2005	11	8,320
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2005	12	2,293
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2006	1	2,832
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2006	2	4,592
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2006	3	8,160
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2006	4	15,353
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2006	5	22,283
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2006	6	25,120
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2006	7	44,497
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2006	8	28,850
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2006	9	33,083
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2006	10	29,824
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2006	11	8,230
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2006	12	2,494
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2007	1	2,856
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2007	2	4,465
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2007	3	5,531
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2007	4	15,336
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2007	5	23,526
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2007	6	27,088
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2007	7	42,449
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2007	8	29,040
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2007	9	31,686
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2007	10	32,030
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2007	11	8,351
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2007	12	2,522
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2008	1	2,830
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2008	2	4,193
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2008	3	4,988
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2008	4	18,180
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2008	5	28,095
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2008	6	39,967
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2008	7	46,898
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2008	8	35,725
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2008	9	27,429
